Year,Data
2017-01-01,1417.133813
2018-01-01,1439.628455
2019-01-01,1509.019232
2020-01-01,1442.157527
2021-01-01,1459.410129
2022-01-01,1433.985358
2023-01-01,1452.352149
2024-01-01,1440.711034
2025-01-01,1462.105043
2026-01-01,1409.373426
2027-01-01,1488.611286
2028-01-01,1392.917273
2029-01-01,1434.041314
2030-01-01,1456.535956
2031-01-01,1525.926732
2032-01-01,1459.065027
2033-01-01,1476.317630
2034-01-01,1450.892859
2035-01-01,1469.259650
2036-01-01,1457.618535
2037-01-01,1479.012544
2038-01-01,1426.280927
2039-01-01,1505.518787
2040-01-01,1409.824773
2041-01-01,1450.948815
2042-01-01,1473.443456
2043-01-01,1542.834233
2044-01-01,1475.972528
2045-01-01,1493.225130
2046-01-01,1467.800360
2047-01-01,1486.167150
2048-01-01,1474.526036
2049-01-01,1495.920045
2050-01-01,1443.188427
2051-01-01,1522.426287
2052-01-01,1426.732274
2053-01-01,1467.856315
2054-01-01,1490.350957
2055-01-01,1559.741734
2056-01-01,1492.880029
2057-01-01,1510.132631
2058-01-01,1484.707861
2059-01-01,1503.074651
2060-01-01,1491.433536
2061-01-01,1512.827546
2062-01-01,1460.095928
2063-01-01,1539.333788
2064-01-01,1443.639775
2065-01-01,1484.763816
2066-01-01,1507.258458